,q,q,q,q,q,q,a,a,a,a,a,a,e,e,e,e,e,e,i,i,i,i,i,i,TJ,TJ,TJ,TJ,TJ,TJ,H,H,H,H,H,H,Num_opps,Num_opps,Num_opps,Num_opps,Num_opps,Num_opps,exp_Num_opps,exp_Num_opps,exp_Num_opps,exp_Num_opps,exp_Num_opps,exp_Num_opps,prob,prob,prob,prob,prob,prob,DeltaQ,DeltaQ,DeltaQ,DeltaQ,DeltaQ,DeltaQ,S_EV,S_EV,S_EV,S_EV,S_EV,S_EV,DeltaH,DeltaH,DeltaH,DeltaH,DeltaH,DeltaH
,mean,std,median,min,max,count,mean,std,median,min,max,count,mean,std,median,min,max,count,mean,std,median,min,max,count,mean,std,median,min,max,count,mean,std,median,min,max,count,mean,std,median,min,max,count,mean,std,median,min,max,count,mean,std,median,min,max,count,mean,std,median,min,max,count,mean,std,median,min,max,count,mean,std,median,min,max,count
designation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P/2025 UX109 (Ye),2.569961,0.0,2.569961,2.569961,2.569961,3,3.806430447166093,0.0,3.806430447166093,3.806430447166093,3.806430447166093,3,0.324837,0.0,0.324837,0.324837,0.324837,3,3.1809,0.0,3.1809,3.1809,3.1809,3,2.9822895042183313,0.0,2.9822895042183317,2.9822895042183317,2.9822895042183317,3,15.0,0.0,15.0,15.0,15.0,3,1.0,0.0,1.0,1.0,1.0,3,22.669840494791668,0.2279200925981556,22.682588577270508,22.435813903808594,22.8911190032959,3,0.99999748242534,6.955199341418881e-07,0.9999971389770508,0.999997025436169,0.9999982828628002,3,16.731271743774414,1.2426905465165163,16.015138626098633,16.012470245361328,18.16620635986328,3,3.948597682564025e-10,9.02508683998171e-11,3.8315229171958357e-10,3.1103396319537707e-10,4.903930498542468e-10,3,4.1666666666666154,0.028867513459481825,4.149999999999949,4.149999999999949,4.1999999999999496,3
2001 BV70,2.0630793,0.0,2.0630793,2.0630793,2.0630793,3,3.5936319,0.0,3.5936319,3.5936319,3.5936319,3,0.4259069,0.0,0.4259069,0.4259069,0.4259069,3,4.33032,0.0,4.33032,4.33032,4.33032,3,2.947403140898716,0.0,2.947403140898716,2.947403140898716,2.947403140898716,3,15.14,0.0,15.14,15.14,15.14,3,1.0,0.0,1.0,1.0,1.0,3,16.07122802734375,0.05824734105676339,16.069965362548828,16.013622283935547,16.130096435546875,3,0.9999987713027396,3.605133558363045e-07,0.9999988079071044,0.9999983938836262,0.999999112117488,3,10.953127225240072,0.015483579727525098,10.94954776763916,10.939746856689451,10.970087051391602,3,2.851934421896624e-07,1.6589011882273314e-08,2.852313126453539e-07,2.685855274994855e-07,3.017634864241478e-07,3,4.35999999999995,0.0,4.35999999999995,4.35999999999995,4.35999999999995,3
489P/Denning,1.561006,0.0,1.561006,1.561006,1.561006,3,4.4215371368037015,0.0,4.4215371368037015,4.4215371368037015,4.4215371368037015,3,0.6469539999999999,0.0,0.6469539999999999,0.6469539999999999,0.6469539999999999,3,4.0269,0.0,4.0269,4.0269,4.0269,3,2.5791422977072553,0.0,2.5791422977072553,2.5791422977072553,2.5791422977072553,3,15.35,0.0,15.35,15.35,15.35,3,1.0,0.0,1.0,1.0,1.0,3,17.653174718221027,0.30665262760495804,17.78211212158203,17.3031063079834,17.874305725097656,3,0.9999885943557785,5.363506300114434e-06,0.9999855997133672,0.99998539686203,0.9999947864919382,3,12.491891225179037,0.6848712798956382,12.790081977844238,11.708477020263672,12.9771146774292,3,6.051057391538335e-08,1.97021251240698e-08,5.147795796462602e-08,4.6944221101511586e-08,8.310954268001246e-08,3,3.916666666666616,0.0577350269189616,3.949999999999948,3.84999999999995,3.949999999999948,3
2009 DP2,3.822559,0.0,3.822559,3.822559,3.822559,3,6.6465785,0.0,6.6465785,6.6465785,6.6465785,3,0.42488319999999985,0.0,0.4248831999999999,0.4248831999999999,0.4248831999999999,3,26.76899,0.0,26.76899,26.76899,26.76899,3,2.6098083599454545,0.0,2.6098083599454545,2.6098083599454545,2.6098083599454545,3,14.17,0.0,14.17,14.17,14.17,3,1.0,0.0,1.0,1.0,1.0,3,5.430984338124593,0.06154563898566199,5.407774448394775,5.384418487548828,5.500760078430176,3,0.9550581842022797,0.009962318701578987,0.9583197236061096,0.9438739039178732,0.9629809250828564,3,0.6254583597183228,0.42285109457401776,0.7412889003753662,0.1567627191543579,0.978323459625244,3,0.011917651345327266,0.0007221162423617135,0.012182260431688,0.0111005560377202,0.0124701375665736,3,4.163333333333286,0.2516611478423578,4.129999999999955,3.929999999999952,4.429999999999952,3
2024 XE22,4.5358788,0.0,4.5358788,4.5358788,4.5358788,3,5.865080199999999,0.0,5.8650801999999995,5.8650801999999995,5.8650801999999995,3,0.22662970000000002,0.0,0.2266297,0.2266297,0.2266297,3,27.160029999999995,0.0,27.16003,27.16003,27.16003,3,2.7272564524699514,0.0,2.7272564524699514,2.7272564524699514,2.7272564524699514,3,14.26,0.0,14.26,14.26,14.26,3,1.0,0.0,1.0,1.0,1.0,3,6.350581645965576,0.09379411080522698,6.33860445022583,6.2633514404296875,6.449789047241211,3,0.9921291627639843,0.0020842831062944252,0.9910033498248992,0.9908498843929568,0.9945342540740968,3,1.892818768819173,0.10552122806132784,1.9046745300292969,1.7818703651428225,1.9919114112854004,3,0.004759233823881833,0.0004419517775764748,0.0048025682588773,0.0042972111036812,0.005177922109087,3,3.2399999999999576,0.0,3.2399999999999576,3.2399999999999576,3.2399999999999576,3
2025 VZ8,2.3949098,0.0,2.3949098,2.3949098,2.3949098,3,2.6206164,0.0,2.6206164,2.6206164,2.6206164,3,0.0861272999999999,0.0,0.0861272999999999,0.0861272999999999,0.0861272999999999,3,12.10031,0.0,12.10031,12.10031,12.10031,3,3.3681175983811844,0.0,3.3681175983811844,3.3681175983811844,3.3681175983811844,3,16.76,0.0,16.76,16.76,16.76,3,1.0,0.0,1.0,1.0,1.0,3,12.561326662699381,0.008196922251434912,12.56091594696045,12.553342819213867,12.569721221923828,3,0.9999985336901798,1.5448015265024177e-07,0.9999985128723352,0.9999983906745912,0.9999986975236131,3,7.173998514811198,0.056658804921932815,7.173026084899902,7.117832183837891,7.231137275695801,3,9.527728027219731e-06,7.807339033496147e-08,9.531428590573844e-06,9.447870158401794e-06,9.603885332683552e-06,3,2.9733333333332808,0.14433756729740638,2.8899999999999473,2.8899999999999473,3.1399999999999473,3
2025 HV38,2.3660691,0.0,2.3660691,2.3660691,2.3660691,3,2.4841718,0.0,2.4841718,2.4841718,2.4841718,3,0.0475421,0.0,0.0475421,0.0475421,0.0475421,3,7.24007,0.0,7.24007,7.24007,7.24007,3,3.463846799036116,0.0,3.463846799036116,3.463846799036116,3.463846799036116,3,15.42,0.0,15.42,15.42,15.42,3,1.0,0.0,1.0,1.0,1.0,3,21.083677291870117,0.06263293449513739,21.086244583129883,21.019800186157227,21.14498710632324,3,0.9999992473954634,8.972702926620958e-08,0.9999992305567256,0.9999991672807572,0.9999993443489076,3,16.38834063212077,0.6487170934117393,16.015138626098633,16.012470245361328,17.137413024902344,3,1.89818358322303e-09,1.1905845116396748e-10,1.890840149445782e-09,1.782966821784979e-09,2.0207437784383286e-09,3,5.179999999999945,0.05000000000000071,5.179999999999945,5.129999999999944,5.229999999999945,3
2015 BC566,2.9510452,0.0,2.9510452,2.9510452,2.9510452,3,3.0632105,0.0,3.0632105,3.0632105,3.0632105,3,0.0366169,0.0,0.0366169,0.0366169,0.0366169,3,11.689860000000001,0.0,11.68986,11.68986,11.68986,3,3.200294535932887,0.0,3.200294535932887,3.200294535932887,3.200294535932887,3,16.33,0.0,16.33,16.33,16.33,3,1.0,0.0,1.0,1.0,1.0,3,13.644862492879232,0.04589773818370546,13.634990692138672,13.604703903198242,13.69489288330078,3,0.9999993062004905,3.843383497086153e-07,0.9999994674061626,0.9999988675117492,0.9999995836835596,3,8.458016713460287,0.4831869472695421,8.262722969055176,8.103043556213379,9.008283615112305,3,3.2263350665938902e-06,1.469941394386579e-07,3.2560664806620524e-06,3.066747870856707e-06,3.356190848262912e-06,3,2.969999999999949,0.0,2.969999999999949,2.969999999999949,2.969999999999949,3
2008 BJ22,2.9429065,0.0,2.9429065,2.9429065,2.9429065,3,3.0732009999999996,0.0,3.073201,3.073201,3.073201,3,0.042397,0.0,0.042397,0.042397,0.042397,3,11.51245,0.0,11.51245,11.51245,11.51245,3,3.197832033180056,0.0,3.197832033180056,3.197832033180056,3.197832033180056,3,15.199999999999998,0.0,15.2,15.2,15.2,3,1.0,0.0,1.0,1.0,1.0,3,20.665302276611328,0.021188554652275593,20.66391372680664,20.64484214782715,20.687150955200195,3,0.999998156003715,7.280640765421315e-07,0.9999977989219389,0.9999976754188538,0.9999989936703524,3,16.01303227742513,0.0018891133589731951,16.012470245361328,16.01148796081543,16.015138626098633,3,2.8809298393101446e-09,6.097599645106636e-11,2.8845015444337195e-09,2.8182464963642442e-09,2.94004147713247e-09,3,4.333333333333283,0.05773502691896147,4.299999999999951,4.299999999999951,4.399999999999949,3
P/2023 JN16 (Lemmon),2.300095,0.0,2.300095,2.300095,2.300095,3,2.697441640914981,0.0,2.697441640914981,2.697441640914981,2.697441640914981,3,0.147305,0.0,0.147305,0.147305,0.147305,3,3.7013,0.0,3.7013,3.7013,3.7013,3,3.3502394612939383,0.0,3.3502394612939383,3.3502394612939383,3.3502394612939383,3,15.729999999999999,0.0,15.73,15.73,15.73,3,1.0,0.0,1.0,1.0,1.0,3,22.934186299641926,0.17633391313024796,22.9240665435791,22.76313018798828,23.1153621673584,3,0.9999993063051026,1.9323158441178265e-07,0.9999992267692775,0.9999991655349731,0.9999995266110572,3,16.760234832763672,1.2928560603994408,16.015138626098633,16.012470245361328,18.253095626831055,3,3.010031595375575e-10,5.2474479661328575e-11,3.009531402357207e-10,2.4855370740677427e-10,3.535026309701776e-10,3,4.653333333333278,0.10408329997330473,4.619999999999944,4.569999999999947,4.769999999999943,3
2021 AY8,2.5674489,0.0,2.5674489,2.5674489,2.5674489,3,2.7227967,0.0,2.7227967,2.7227967,2.7227967,3,0.0570544999999999,0.0,0.0570544999999999,0.0570544999999999,0.0570544999999999,3,5.00731,0.0,5.00731,5.00731,5.00731,3,3.349840758167124,0.0,3.349840758167124,3.349840758167124,3.349840758167124,3,17.52,0.0,17.52,17.52,17.52,3,1.0,0.0,1.0,1.0,1.0,3,12.366972287495932,0.02544107495625204,12.374719619750977,12.338558197021484,12.387639045715332,3,0.9999975624294662,8.085157786471266e-07,0.9999976311550908,0.9999967217445374,0.9999983343887706,3,7.064400990804036,0.049263610925171834,7.041839599609375,7.030458450317383,7.120904922485352,3,1.1573925501065689e-05,2.9597701663698684e-07,1.1482118798758448e-05,1.1334730550863558e-05,1.1904927153575056e-05,3,3.0299999999999443,0.0,3.0299999999999443,3.0299999999999443,3.0299999999999443,3
2007 VB146,2.4398787,0.0,2.4398787,2.4398787,2.4398787,3,2.7528919,0.0,2.7528919,2.7528919,2.7528919,3,0.1137034,0.0,0.1137034,0.1137034,0.1137034,3,3.49271,0.0,3.49271,3.49271,3.49271,3,3.332674318529213,0.0,3.332674318529213,3.332674318529213,3.332674318529213,3,16.94,0.0,16.94,16.94,16.94,3,1.0,0.0,1.0,1.0,1.0,3,14.813217480977377,0.03321521149500304,14.823407173156738,14.776101112365724,14.840144157409668,3,0.9999992867158856,1.5907042512915793e-07,0.999999348986842,0.9999991059303284,0.9999994052304864,3,10.005606651306152,0.021575101241552302,10.015666961669922,9.980838775634766,10.02031421661377,3,1.0026660376768148e-06,3.352882657197314e-08,9.921344811674542e-07,9.75667331596377e-07,1.0401963002666129e-06,3,2.5933333333332818,0.057735026918961374,2.559999999999949,2.559999999999949,2.659999999999947,3
P/2017 FL36 (PANSTARRS),2.828733,0.0,2.828733,2.828733,2.828733,3,2.927576774642246,0.0,2.927576774642246,2.927576774642246,2.927576774642246,3,0.033763,0.0,0.033763,0.033763,0.033763,3,15.6993,0.0,15.6993,15.6993,15.6993,3,3.220676291066651,0.0,3.220676291066651,3.220676291066651,3.220676291066651,3,16.65,0.0,16.65,16.65,16.65,3,1.0,0.0,1.0,1.0,1.0,3,19.11441167195638,0.11139385424699494,19.133319854736328,18.994773864746097,19.21514129638672,3,0.9999790047408865,1.3644874380699947e-05,0.9999720297225826,0.9999702572822572,0.9999947272178198,3,14.725747426350912,0.6590893125982032,15.00857925415039,13.97244644165039,15.196216583251951,3,1.3640235964614395e-08,1.5377526153597838e-09,1.3329051577840933e-08,1.2281874290105156e-08,1.53097820258971e-08,3,2.8333333333332846,0.028867513459481634,2.8499999999999517,2.799999999999951,2.8499999999999517,3
2009 FP8,2.4777237,0.0,2.4777237,2.4777237,2.4777237,3,3.0142078,0.0,3.0142078,3.0142078,3.0142078,3,0.1779850999999999,0.0,0.1779850999999999,0.1779850999999999,0.1779850999999999,3,4.62744,0.0,4.62744,4.62744,4.62744,3,3.2192328096180423,0.0,3.2192328096180423,3.2192328096180423,3.2192328096180423,3,16.94,0.0,16.94,16.94,16.94,3,1.0,0.0,1.0,1.0,1.0,3,11.819618542989096,0.02659062171255217,11.830772399902344,11.789267539978027,11.838815689086914,3,0.9999955583955629,1.988754269274118e-06,0.999996608930746,0.9999932646751404,0.9999968015808022,3,6.975202242533366,0.11491255471557134,7.041254043579102,6.842513084411621,7.041839599609375,3,2.0007931523016086e-05,5.356300770036358e-07,1.978132197851112e-05,1.9622853244648505e-05,2.0619619345888628e-05,3,2.926666666666614,0.028867513459481634,2.909999999999947,2.909999999999947,2.9599999999999476,3
2010 TR241,2.746025,0.0,2.746025,2.746025,2.746025,3,3.0507496999999995,0.0,3.0507497,3.0507497,3.0507497,3,0.0998852,0.0,0.0998852,0.0998852,0.0998852,3,12.41983,0.0,12.41983,12.41983,12.41983,3,3.1936258444671792,0.0,3.1936258444671792,3.1936258444671792,3.1936258444671792,3,16.97,0.0,16.97,16.97,16.97,3,1.0,0.0,1.0,1.0,1.0,3,10.700442949930826,0.0432987141542322,10.696443557739258,10.659282684326172,10.74560260772705,3,0.9999885410657526,1.918808626736537e-06,0.9999875041487308,0.9999873638153076,0.9999907552332196,3,5.605357487996419,0.507638242720549,5.782939434051514,5.032784461975098,6.0003485679626465,3,6.12945663194632e-05,2.6454563620673423e-06,6.150183429022553e-05,5.855157268545044e-05,6.38302919827136e-05,3,1.9633333333332839,0.02886751345948191,1.979999999999951,1.92999999999995,1.979999999999951,3
2002 CW116,2.0682035,0.0,2.0682035,2.0682035,2.0682035,3,2.6902823,0.0,2.6902823,2.6902823,2.6902823,3,0.2312318,0.0,0.2312318,0.2312318,0.2312318,3,8.13852,0.0,8.13852,8.13852,8.13852,3,3.3190735936737266,0.0,3.3190735936737266,3.3190735936737266,3.3190735936737266,3,17.52,0.0,17.52,17.52,17.52,3,1.0,0.0,1.0,1.0,1.0,3,9.159023602803549,0.04193061449225015,9.154593467712402,9.119483947753906,9.202993392944336,3,0.9998772549575313,3.8664613597053593e-05,0.9998730149951868,0.9998408850779076,0.9999178647994996,3,3.907792886098226,0.11565691368705894,3.9433703422546382,3.778526782989502,4.001481533050537,3,0.0002863089993856,1.1962998507814331e-05,0.0002874121045677,0.0002738326531898,0.0002976822403993,3,3.0299999999999443,0.0,3.0299999999999443,3.0299999999999443,3.0299999999999443,3
