Num_obs,rms,Arc_length,likely_or_possible_mislinkage,Principal_desig,assumed good instead of human labeled?
47,0.41,16,0,2015 RU1,
14,0.16,78,0,2023 OU45,
46,0.63,92,0,2023 NF11,
49,0.04,8,0,2006 RP112,
25,0.47,16,0,2015 NG13,
69,0.19,87,0,2019 SK3,
30,0.18,48,0,2019 SP20,
41,0.32,101,0,2022 DO17,
23,0.03,9,0,2017 BR234,
7,0.11,8,0,2024 JW60,
22,0.5,27,0,2025 SF118,
27,0.4,69,0,2016 FE117,
27,0.62,108,0,2022 OM57,
21,0.64,80,0,2025 SO143,
20,0.26,60,0,2020 QD80,
22,1,8,0,2023 KG3,
49,0.26,135,0,2018 UW17,
47,0.28,56,0,2025 DO61,
17,0.09,79,0,2020 OS75,
29,0.44,61,0,2023 TG77,
22,0.43,73,0,2014 QN603,
122,0.2,139,0,2020 OK8,
14,0.29,49,0,2019 PU57,
21,0.31,54,0,2021 RP168,
15,0.01,79,0,2020 KC56,
25,0.66,14,0,2022 QO39,
21,0.2,52,0,2019 ND16,
34,0.58,176,0,2022 LW6,
23,0.6,83,0,2023 SU58,
30,0.21,27,0,2019 NV2,
59,0.24,93,0,2015 BH92,
23,0.3,81,0,2020 QB63,
35,0.3,98,0,2020 BC28,
23,0.27,96,0,2017 RR2,
34,0.26,86,0,2016 PA134,
10,1.44,11,0,2024 QY41,
30,0.68,10,0,2003 XZ12,
40,0.72,52,0,2023 SU10,
28,0.14,42,0,2019 SQ43,
31,0.16,40,0,2020 SN33,
24,0.15,47,0,2023 QS43,
21,0.13,62,0,2021 GK123,
22,0.19,62,0,2015 KG465,
21,0.72,42,0,2024 WN43,
21,0.11,49,0,2019 NN16,
10,1.17,8,0,2020 PC99,
427,0.09,62,0,2025 MM25,
38,0.65,65,0,2023 RJ42,
30,0.72,70,0,2022 PF24,
25,0.1,63,0,2020 PN33,
5,0.38,30,1,2002 GH177,
8,0.49,66,1,2003 MM13,
11,0.52,65,1,2007 TF279,
13,1.13,58,0,2017 BV240,
6,0.66,27,1,2017 EM57,
7,0.7,26,1,2017 JY13,
9,0.57,4,0,2017 PA92,
9,0.6,4,0,2017 SG394,
11,0.98,25,1,2018 AS83,
13,0.87,36,1,2018 PO107,
13,0.76,40,1,2018 PZ138,
17,0.44,5,0,2018 PU146,
10,0.9,29,1,2018 RX128,
13,0.94,76,0,2020 MN52,
10,0.99,33,1,2020 QB71,
11,0.96,63,0,2021 GP174,
5,0.16,3,0,2005 GW186,
12,0.36,2,0,2008 EF143,
9,0.22,3,0,2009 BU21,
11,1.34,25,1,2009 UX196,
14,0.77,25,1,2014 KH169,
16,0.31,24,1,2008 ES144,
10,0.21,3,0,2014 ER217,
11,0.17,3,0,2014 ED248,
14,0.16,3,0,2015 XQ232,
17,0.35,5,0,2016 UZ121,
12,0.17,2,0,2018 VE111,
11,0.31,5,0,2008 UH226,
11,0.71,47,1,2013 CA140,
16,0.6,24,1,2014 EV140,
10,0.54,4,0,2014 EQ197,
17,0.83,32,1,2015 BQ191,
17,0.19,4,0,2016 HM15,
13,0.89,2,0,2019 JK148,
15,0.19,28,0,2021 UA56,
11,0.73,3,0,2022 SE333,
10,0.45,24,1,2023 UT81,
17,1.05,32,0,2025 QP15,
11,0.9,31,0,2025 QU66,
7,1.09,37,1,2004 LX32,
20,0.25,3,0,2014 HW437,
20,0.25,4,0,2015 HG383,
10,1.17,25,1,2018 AM82,
8,0.28,30,1,2021 FV45,
11,0.22,33,1,2021 HQ25,
11,0.65,5,0,2022 SN335,
10,0.77,5,0,2023 SH90,
13,0.75,39,0,2025 TD66,
12,0.3,37,1,2008 DA87,
10,0.32,2,0,2013 CU57,
15,0.17,2,0,2015 HQ92,
13,0.13,8,0,2016 GD107,
10,0.5,3,1,2019 FV4,
9,0.16,20,1,2016 RF103,
9,1.34,37,1,2023 RE178,
12,0.61,23,1,2023 RT181,
11,0.4,20,1,2023 WA39,
6,0.12,23,1,2001 QU297,
14,1.06,28,0,2023 FH15,
11,0.85,8,0,2023 HE39,
